outcome,age,gender,location,income_bracket,purchase_history_count,purchase_history_items,browsing_behavior_count,browsing_behavior_items,seasonal_factors,budget_range,shopping_condition,browsing_count,primary_categories_count,primary_categories_items
trending recommendations,25,male,urban area,high income,2,books_item_72|education_item_12,7,browsed_education_item_33|browsed_books_item_42|browsed_education_item_22|browsed_education_item_4|browsed_books_item_30|browsed_education_item_36|browsed_education_item_46,regular shopping period,$100-300,following up on previously viewed items,7,2,books|education
trending recommendations,20,female,rural area,high income,5,electronics_item_32|electronics_item_55|electronics_item_52|electronics_item_100|gaming_item_78,8,browsed_gaming_item_47|browsed_gaming_item_26|browsed_electronics_item_34|browsed_electronics_item_29|browsed_gaming_item_3|browsed_electronics_item_34|browsed_gaming_item_48|browsed_electronics_item_36,spring cleaning time,$500+,following up on previously viewed items,8,2,electronics|gaming
personalized recommendations,29,male,urban area,high income,7,clothing_item_26|clothing_item_81|clothing_item_19|clothing_item_77|accessories_item_41|accessories_item_94|accessories_item_9,3,browsed_accessories_item_36|browsed_accessories_item_36|browsed_accessories_item_18,winter clothing season,$300-500,looking for a specific item with detailed requirements,3,2,clothing|accessories
personalized recommendations,43,male,urban area,low income,7,beauty_item_85|beauty_item_13|beauty_item_85|beauty_item_67|health_item_80|health_item_78|health_item_90,4,browsed_health_item_7|browsed_beauty_item_19|browsed_beauty_item_7|browsed_health_item_13,winter clothing season,$50-100,shopping for a gift with time constraints,4,2,beauty|health
personalized recommendations,38,male,urban area,low income,2,travel_item_98|experiences_item_62,5,browsed_experiences_item_32|browsed_experiences_item_32|browsed_travel_item_49|browsed_experiences_item_26|browsed_travel_item_49,winter clothing season,$50-100,looking for a specific item with detailed requirements,5,2,travel|experiences
personalized recommendations,45,female,rural area,high income,7,sports_item_71|sports_item_72|sports_item_62|sports_item_23|fitness_item_72|fitness_item_72|fitness_item_62,5,browsed_fitness_item_37|browsed_fitness_item_50|browsed_fitness_item_48|browsed_sports_item_43|browsed_sports_item_48,back-to-school season,$300-500,following up on previously viewed items,5,2,sports|fitness
personalized recommendations,55,male,suburban area,middle income,6,travel_item_84|travel_item_74|travel_item_26|travel_item_72|experiences_item_32|experiences_item_10,5,browsed_experiences_item_21|browsed_travel_item_8|browsed_experiences_item_28|browsed_experiences_item_23|browsed_travel_item_21,summer vacation period,$500+,following up on previously viewed items,5,2,travel|experiences
personalized recommendations,47,female,suburban area,high income,7,sports_item_100|sports_item_59|sports_item_88|fitness_item_76|fitness_item_4|fitness_item_62|fitness_item_15,5,browsed_sports_item_25|browsed_sports_item_44|browsed_sports_item_21|browsed_fitness_item_23|browsed_sports_item_45,summer vacation period,$50-100,shopping for a gift with time constraints,5,2,sports|fitness
personalized recommendations,27,female,rural area,low income,4,books_item_99|books_item_69|books_item_80|education_item_77,3,browsed_books_item_42|browsed_books_item_4|browsed_books_item_27,spring cleaning time,$300-500,looking for a specific item with detailed requirements,3,2,books|education
personalized recommendations,22,male,urban area,high income,6,travel_item_22|travel_item_29|travel_item_53|travel_item_77|experiences_item_75|experiences_item_99,4,browsed_experiences_item_11|browsed_experiences_item_30|browsed_travel_item_15|browsed_experiences_item_25,back-to-school season,$10-50,looking for a specific item with detailed requirements,4,2,travel|experiences
trending recommendations,40,male,rural area,high income,4,electronics_item_86|books_item_58|books_item_31|books_item_83,7,browsed_electronics_item_3|browsed_books_item_25|browsed_electronics_item_25|browsed_books_item_35|browsed_books_item_2|browsed_books_item_33|browsed_books_item_32,holiday shopping season,$100-300,following up on previously viewed items,7,2,electronics|books
trending recommendations,23,female,urban area,upper middle income,6,books_item_100|books_item_11|books_item_93|books_item_72|education_item_74|education_item_67,4,browsed_education_item_11|browsed_books_item_18|browsed_education_item_18|browsed_education_item_10,holiday shopping season,$50-100,comparing prices across multiple options,4,2,books|education
personalized recommendations,66,male,rural area,upper middle income,6,books_item_59|books_item_16|education_item_41|education_item_89|education_item_2|education_item_2,8,browsed_books_item_25|browsed_books_item_21|browsed_education_item_40|browsed_education_item_12|browsed_education_item_16|browsed_education_item_31|browsed_education_item_24|browsed_books_item_32,spring cleaning time,$50-100,comparing prices across multiple options,8,2,books|education
trending recommendations,22,male,suburban area,middle income,4,books_item_47|books_item_14|books_item_12|education_item_40,6,browsed_education_item_49|browsed_education_item_7|browsed_books_item_6|browsed_books_item_28|browsed_education_item_36|browsed_education_item_7,holiday shopping season,$10-50,shopping for a gift with time constraints,6,2,books|education
personalized recommendations,24,female,urban area,middle income,7,sports_item_63|sports_item_8|sports_item_19|sports_item_92|fitness_item_12|fitness_item_6|fitness_item_30,7,browsed_fitness_item_45|browsed_fitness_item_30|browsed_sports_item_38|browsed_sports_item_33|browsed_sports_item_41|browsed_fitness_item_5|browsed_sports_item_28,regular shopping period,$50-100,browsing casually without specific intent,7,2,sports|fitness
personalized recommendations,44,female,urban area,middle income,5,electronics_item_94|electronics_item_60|electronics_item_36|gaming_item_9|gaming_item_68,4,browsed_gaming_item_19|browsed_gaming_item_35|browsed_gaming_item_30|browsed_electronics_item_50,regular shopping period,$500+,comparing prices across multiple options,4,2,electronics|gaming
personalized recommendations,52,male,suburban area,high income,5,home_goods_item_26|home_goods_item_83|home_goods_item_68|home_goods_item_32|kitchen_item_49,8,browsed_kitchen_item_31|browsed_kitchen_item_23|browsed_kitchen_item_25|browsed_kitchen_item_12|browsed_home_goods_item_21|browsed_home_goods_item_2|browsed_kitchen_item_4|browsed_kitchen_item_34,summer vacation period,$500+,browsing casually without specific intent,8,2,home_goods|kitchen
trending recommendations,25,male,suburban area,middle income,7,beauty_item_95|beauty_item_80|beauty_item_32|health_item_48|health_item_76|health_item_64|health_item_99,4,browsed_beauty_item_10|browsed_beauty_item_27|browsed_beauty_item_15|browsed_health_item_41,regular shopping period,$10-50,shopping for a gift with time constraints,4,2,beauty|health
trending recommendations,19,male,rural area,low income,4,electronics_item_38|gaming_item_78|gaming_item_12|gaming_item_37,6,browsed_gaming_item_26|browsed_electronics_item_31|browsed_electronics_item_35|browsed_electronics_item_9|browsed_gaming_item_35|browsed_gaming_item_41,back-to-school season,$100-300,following up on previously viewed items,6,2,electronics|gaming
trending recommendations,57,male,urban area,high income,4,travel_item_7|travel_item_47|travel_item_29|experiences_item_2,4,browsed_experiences_item_6|browsed_experiences_item_41|browsed_travel_item_24|browsed_experiences_item_24,regular shopping period,$10-50,seeking recommendations for new products,4,2,travel|experiences
personalized recommendations,31,male,urban area,middle income,3,electronics_item_27|books_item_88|books_item_55,3,browsed_electronics_item_35|browsed_books_item_42|browsed_electronics_item_48,regular shopping period,$50-100,looking for a specific item with detailed requirements,3,2,electronics|books
trending recommendations,58,female,rural area,middle income,4,sports_item_58|sports_item_23|sports_item_88|fitness_item_24,4,browsed_sports_item_25|browsed_sports_item_28|browsed_fitness_item_36|browsed_fitness_item_9,back-to-school season,$500+,shopping for a gift with time constraints,4,2,sports|fitness
personalized recommendations,51,male,rural area,upper middle income,6,clothing_item_89|clothing_item_17|clothing_item_62|clothing_item_10|accessories_item_50|accessories_item_12,8,browsed_clothing_item_7|browsed_accessories_item_24|browsed_accessories_item_9|browsed_accessories_item_50|browsed_clothing_item_42|browsed_clothing_item_5|browsed_clothing_item_40|browsed_clothing_item_29,summer vacation period,$50-100,following up on previously viewed items,8,2,clothing|accessories
personalized recommendations,34,male,urban area,high income,6,electronics_item_93|electronics_item_4|gaming_item_38|gaming_item_34|gaming_item_54|gaming_item_52,6,browsed_electronics_item_38|browsed_electronics_item_22|browsed_electronics_item_44|browsed_gaming_item_43|browsed_gaming_item_33|browsed_gaming_item_11,regular shopping period,$500+,browsing casually without specific intent,6,2,electronics|gaming
trending recommendations,24,female,urban area,middle income,6,travel_item_46|travel_item_28|travel_item_74|experiences_item_24|experiences_item_96|experiences_item_88,4,browsed_experiences_item_48|browsed_travel_item_16|browsed_travel_item_17|browsed_travel_item_15,back-to-school season,$50-100,seeking recommendations for new products,4,2,travel|experiences
trending recommendations,47,female,suburban area,upper middle income,3,sports_item_59|sports_item_52|fitness_item_34,4,browsed_fitness_item_33|browsed_sports_item_36|browsed_sports_item_33|browsed_fitness_item_22,holiday shopping season,$500+,shopping for a gift with time constraints,4,2,sports|fitness
trending recommendations,20,female,rural area,middle income,6,clothing_item_19|clothing_item_43|clothing_item_96|clothing_item_10|accessories_item_45|accessories_item_41,4,browsed_clothing_item_46|browsed_accessories_item_29|browsed_clothing_item_17|browsed_clothing_item_16,regular shopping period,$10-50,shopping for a gift with time constraints,4,2,clothing|accessories
personalized recommendations,54,female,urban area,middle income,2,clothing_item_73|accessories_item_37,7,browsed_accessories_item_27|browsed_accessories_item_25|browsed_accessories_item_37|browsed_accessories_item_3|browsed_clothing_item_18|browsed_accessories_item_10|browsed_accessories_item_3,spring cleaning time,$100-300,following up on previously viewed items,7,2,clothing|accessories
personalized recommendations,44,male,rural area,low income,2,beauty_item_28|health_item_13,8,browsed_beauty_item_35|browsed_health_item_13|browsed_beauty_item_34|browsed_beauty_item_37|browsed_beauty_item_36|browsed_health_item_48|browsed_beauty_item_50|browsed_health_item_44,spring cleaning time,$300-500,looking for a specific item with detailed requirements,8,2,beauty|health
trending recommendations,18,female,rural area,high income,2,home_goods_item_47|kitchen_item_55,3,browsed_kitchen_item_43|browsed_kitchen_item_13|browsed_home_goods_item_2,back-to-school season,$50-100,following up on previously viewed items,3,2,home_goods|kitchen
trending recommendations,34,female,urban area,low income,5,home_goods_item_79|home_goods_item_77|home_goods_item_5|home_goods_item_69|kitchen_item_12,6,browsed_home_goods_item_39|browsed_home_goods_item_50|browsed_kitchen_item_34|browsed_kitchen_item_24|browsed_home_goods_item_45|browsed_kitchen_item_15,spring cleaning time,$300-500,shopping for a gift with time constraints,6,2,home_goods|kitchen
trending recommendations,50,male,rural area,middle income,4,electronics_item_98|gaming_item_72|gaming_item_62|gaming_item_75,7,browsed_gaming_item_44|browsed_gaming_item_28|browsed_electronics_item_34|browsed_electronics_item_2|browsed_gaming_item_10|browsed_electronics_item_43|browsed_electronics_item_13,summer vacation period,$50-100,shopping for a gift with time constraints,7,2,electronics|gaming
personalized recommendations,18,male,rural area,upper middle income,7,electronics_item_51|electronics_item_96|electronics_item_21|electronics_item_3|gaming_item_88|gaming_item_46|gaming_item_46,8,browsed_gaming_item_16|browsed_gaming_item_4|browsed_gaming_item_25|browsed_electronics_item_36|browsed_gaming_item_15|browsed_electronics_item_22|browsed_gaming_item_43|browsed_electronics_item_6,regular shopping period,$300-500,seeking recommendations for new products,8,2,electronics|gaming
personalized recommendations,64,male,urban area,low income,3,home_goods_item_85|home_goods_item_33|kitchen_item_27,4,browsed_kitchen_item_7|browsed_home_goods_item_5|browsed_kitchen_item_36|browsed_home_goods_item_2,spring cleaning time,$500+,looking for a specific item with detailed requirements,4,2,home_goods|kitchen
trending recommendations,27,male,rural area,high income,5,electronics_item_21|gaming_item_82|gaming_item_1|gaming_item_12|gaming_item_19,6,browsed_gaming_item_6|browsed_electronics_item_17|browsed_electronics_item_24|browsed_electronics_item_39|browsed_electronics_item_47|browsed_gaming_item_26,winter clothing season,$500+,shopping for a gift with time constraints,6,2,electronics|gaming
personalized recommendations,33,female,urban area,middle income,5,travel_item_9|travel_item_34|experiences_item_30|experiences_item_6|experiences_item_86,4,browsed_experiences_item_25|browsed_experiences_item_30|browsed_travel_item_3|browsed_experiences_item_7,regular shopping period,$500+,following up on previously viewed items,4,2,travel|experiences
personalized recommendations,66,male,rural area,upper middle income,5,books_item_58|books_item_10|books_item_82|books_item_99|education_item_52,7,browsed_education_item_45|browsed_education_item_30|browsed_education_item_21|browsed_books_item_50|browsed_books_item_47|browsed_education_item_41|browsed_education_item_5,winter clothing season,$300-500,browsing casually without specific intent,7,2,books|education
trending recommendations,18,female,rural area,low income,4,home_goods_item_67|home_goods_item_23|kitchen_item_43|kitchen_item_72,6,browsed_kitchen_item_15|browsed_kitchen_item_41|browsed_home_goods_item_12|browsed_kitchen_item_26|browsed_home_goods_item_48|browsed_home_goods_item_29,winter clothing season,$300-500,comparing prices across multiple options,6,2,home_goods|kitchen
trending recommendations,24,male,suburban area,high income,5,sports_item_37|fitness_item_33|fitness_item_25|fitness_item_1|fitness_item_91,8,browsed_sports_item_37|browsed_sports_item_34|browsed_sports_item_25|browsed_sports_item_45|browsed_fitness_item_27|browsed_fitness_item_7|browsed_sports_item_28|browsed_fitness_item_17,winter clothing season,$300-500,seeking recommendations for new products,8,2,sports|fitness
personalized recommendations,65,male,suburban area,upper middle income,5,travel_item_22|travel_item_82|experiences_item_54|experiences_item_81|experiences_item_79,7,browsed_experiences_item_5|browsed_travel_item_11|browsed_experiences_item_15|browsed_experiences_item_21|browsed_experiences_item_46|browsed_experiences_item_39|browsed_experiences_item_18,spring cleaning time,$100-300,following up on previously viewed items,7,2,travel|experiences
trending recommendations,19,male,rural area,upper middle income,3,electronics_item_42|electronics_item_19|books_item_92,4,browsed_books_item_26|browsed_electronics_item_44|browsed_books_item_17|browsed_electronics_item_2,spring cleaning time,$300-500,seeking recommendations for new products,4,2,electronics|books
personalized recommendations,55,male,rural area,high income,5,books_item_45|books_item_62|books_item_70|education_item_12|education_item_57,5,browsed_education_item_27|browsed_education_item_10|browsed_education_item_1|browsed_books_item_34|browsed_books_item_23,summer vacation period,$300-500,seeking recommendations for new products,5,2,books|education
personalized recommendations,31,female,suburban area,middle income,6,electronics_item_27|electronics_item_89|electronics_item_62|electronics_item_43|books_item_1|books_item_2,8,browsed_electronics_item_8|browsed_books_item_10|browsed_electronics_item_50|browsed_electronics_item_47|browsed_electronics_item_17|browsed_electronics_item_30|browsed_books_item_17|browsed_books_item_4,holiday shopping season,$50-100,looking for a specific item with detailed requirements,8,2,electronics|books
trending recommendations,61,male,urban area,low income,3,electronics_item_33|electronics_item_72|books_item_74,4,browsed_books_item_27|browsed_books_item_29|browsed_books_item_28|browsed_books_item_2,spring cleaning time,$10-50,seeking recommendations for new products,4,2,electronics|books
personalized recommendations,57,female,rural area,high income,3,electronics_item_66|gaming_item_9|gaming_item_40,8,browsed_gaming_item_9|browsed_electronics_item_12|browsed_electronics_item_13|browsed_electronics_item_16|browsed_electronics_item_30|browsed_electronics_item_24|browsed_electronics_item_18|browsed_gaming_item_30,winter clothing season,$300-500,following up on previously viewed items,8,2,electronics|gaming
personalized recommendations,56,male,rural area,low income,6,electronics_item_91|electronics_item_4|electronics_item_56|electronics_item_84|gaming_item_78|gaming_item_56,4,browsed_electronics_item_7|browsed_gaming_item_14|browsed_electronics_item_27|browsed_gaming_item_43,summer vacation period,$100-300,browsing casually without specific intent,4,2,electronics|gaming
personalized recommendations,48,female,suburban area,upper middle income,6,electronics_item_13|electronics_item_89|electronics_item_21|electronics_item_8|books_item_33|books_item_61,8,browsed_electronics_item_29|browsed_books_item_17|browsed_books_item_24|browsed_books_item_23|browsed_electronics_item_27|browsed_electronics_item_23|browsed_electronics_item_37|browsed_electronics_item_50,summer vacation period,$100-300,shopping for a gift with time constraints,8,2,electronics|books
personalized recommendations,57,male,rural area,upper middle income,6,home_goods_item_12|home_goods_item_84|home_goods_item_47|kitchen_item_11|kitchen_item_48|kitchen_item_86,8,browsed_home_goods_item_4|browsed_kitchen_item_41|browsed_kitchen_item_47|browsed_home_goods_item_28|browsed_home_goods_item_46|browsed_home_goods_item_1|browsed_home_goods_item_31|browsed_home_goods_item_9,winter clothing season,$50-100,seeking recommendations for new products,8,2,home_goods|kitchen
personalized recommendations,32,female,urban area,low income,6,clothing_item_97|clothing_item_16|accessories_item_45|accessories_item_55|accessories_item_41|accessories_item_18,4,browsed_accessories_item_42|browsed_clothing_item_16|browsed_accessories_item_50|browsed_clothing_item_43,summer vacation period,$50-100,seeking recommendations for new products,4,2,clothing|accessories
personalized recommendations,27,female,rural area,upper middle income,7,books_item_78|books_item_89|books_item_98|books_item_32|education_item_51|education_item_44|education_item_38,6,browsed_books_item_9|browsed_education_item_39|browsed_education_item_45|browsed_education_item_46|browsed_books_item_13|browsed_books_item_40,regular shopping period,$100-300,following up on previously viewed items,6,2,books|education
personalized recommendations,37,female,urban area,upper middle income,8,books_item_63|books_item_85|books_item_34|books_item_12|education_item_24|education_item_48|education_item_49|education_item_48,4,browsed_education_item_3|browsed_education_item_29|browsed_education_item_17|browsed_books_item_18,winter clothing season,$10-50,browsing casually without specific intent,4,2,books|education
